"ƒ´∏ﬁ∂Û π¯»£","¡÷º“","ªÛºº º≥∏Ì","√¯¡§ Ω√¿€ Ω√∞£","√¯¡§ ¡æ∑· Ω√∞£","ƒ´∏ﬁ∂Û ≈Î∞˙ ¿Œø¯ (IN)","ƒ´∏ﬁ∂Û ≈Î∞˙ ¿Œø¯ (OUT)","µ•¿Ã≈Õ¿‘∑¬Ω√∞£"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 02:18:54","2015-11-18 02:28:54","2","0","2015-11-18 02:28:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 02:18:54","2015-11-18 02:28:54","0","2","2015-11-18 02:28:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 02:18:54","2015-11-18 02:28:54","7","0","2015-11-18 02:28:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 02:28:54","2015-11-18 02:38:54","2","1","2015-11-18 02:38:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 02:28:54","2015-11-18 02:38:54","5","1","2015-11-18 02:38:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 02:28:54","2015-11-18 02:38:54","0","1","2015-11-18 02:38:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 02:38:54","2015-11-18 02:48:54","5","0","2015-11-18 02:48:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 02:38:54","2015-11-18 02:48:54","0","1","2015-11-18 02:48:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 02:48:54","2015-11-18 02:58:54","5","1","2015-11-18 02:58:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 02:48:54","2015-11-18 02:58:54","2","1","2015-11-18 02:58:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 02:48:54","2015-11-18 02:58:54","1","8","2015-11-18 02:58:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 02:48:54","2015-11-18 02:58:54","2","0","2015-11-18 02:58:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 02:58:54","2015-11-18 03:08:54","1","3","2015-11-18 03:08:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 02:58:54","2015-11-18 03:08:54","3","7","2015-11-18 03:08:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 02:58:54","2015-11-18 03:08:54","3","3","2015-11-18 03:08:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 03:08:54","2015-11-18 03:18:54","2","0","2015-11-18 03:18:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 03:08:54","2015-11-18 03:18:54","2","0","2015-11-18 03:18:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 03:18:54","2015-11-18 03:28:54","6","8","2015-11-18 03:28:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 03:18:54","2015-11-18 03:28:54","1","0","2015-11-18 03:28:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 03:28:54","2015-11-18 03:38:54","1","3","2015-11-18 03:38:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 03:28:54","2015-11-18 03:38:54","1","11","2015-11-18 03:38:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 03:28:54","2015-11-18 03:38:54","2","0","2015-11-18 03:38:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 03:28:54","2015-11-18 03:38:54","2","2","2015-11-18 03:38:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 03:38:54","2015-11-18 03:48:54","1","0","2015-11-18 03:48:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 03:48:54","2015-11-18 03:58:54","1","2","2015-11-18 03:58:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 03:48:54","2015-11-18 03:58:54","0","4","2015-11-18 03:58:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 03:48:54","2015-11-18 03:58:54","10","1","2015-11-18 03:58:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 03:58:54","2015-11-18 04:08:54","5","3","2015-11-18 04:08:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 03:58:54","2015-11-18 04:08:54","1","1","2015-11-18 04:08:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 03:58:54","2015-11-18 04:08:54","7","4","2015-11-18 04:08:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 03:58:54","2015-11-18 04:08:54","0","1","2015-11-18 04:08:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 04:08:54","2015-11-18 04:18:54","5","11","2015-11-18 04:18:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 04:08:54","2015-11-18 04:18:54","1","1","2015-11-18 04:18:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 04:08:54","2015-11-18 04:18:54","8","0","2015-11-18 04:18:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 04:08:54","2015-11-18 04:18:54","3","0","2015-11-18 04:18:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 04:18:54","2015-11-18 04:28:54","0","4","2015-11-18 04:28:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 04:18:54","2015-11-18 04:28:54","4","1","2015-11-18 04:28:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 04:28:54","2015-11-18 04:38:54","2","6","2015-11-18 04:38:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 04:28:54","2015-11-18 04:38:54","6","5","2015-11-18 04:38:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 04:28:54","2015-11-18 04:38:54","4","5","2015-11-18 04:38:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 04:28:54","2015-11-18 04:38:54","0","1","2015-11-18 04:38:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 04:38:54","2015-11-18 04:48:54","0","2","2015-11-18 04:48:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 04:38:54","2015-11-18 04:48:54","0","4","2015-11-18 04:48:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 04:38:54","2015-11-18 04:48:54","18","7","2015-11-18 04:48:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 04:38:54","2015-11-18 04:48:54","5","2","2015-11-18 04:48:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 04:48:54","2015-11-18 04:58:54","4","2","2015-11-18 04:58:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 04:48:54","2015-11-18 04:58:54","0","2","2015-11-18 04:58:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 04:48:54","2015-11-18 04:58:54","2","0","2015-11-18 04:58:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 04:48:54","2015-11-18 04:58:54","9","0","2015-11-18 04:58:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 04:58:54","2015-11-18 05:08:54","6","3","2015-11-18 05:08:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 04:58:54","2015-11-18 05:08:54","9","12","2015-11-18 05:08:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 04:58:54","2015-11-18 05:08:54","1","4","2015-11-18 05:08:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 04:58:54","2015-11-18 05:08:54","2","4","2015-11-18 05:08:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 05:08:54","2015-11-18 05:18:54","5","9","2015-11-18 05:18:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 05:08:54","2015-11-18 05:18:54","14","9","2015-11-18 05:18:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 05:08:54","2015-11-18 05:18:54","7","4","2015-11-18 05:18:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 05:08:54","2015-11-18 05:18:54","0","7","2015-11-18 05:18:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 05:18:54","2015-11-18 05:28:54","2","21","2015-11-18 05:28:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 05:18:54","2015-11-18 05:28:54","10","4","2015-11-18 05:28:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 05:18:54","2015-11-18 05:28:54","14","15","2015-11-18 05:28:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 05:18:54","2015-11-18 05:28:54","2","4","2015-11-18 05:28:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 05:28:54","2015-11-18 05:38:54","9","6","2015-11-18 05:38:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 05:28:54","2015-11-18 05:38:54","2","13","2015-11-18 05:38:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 05:28:54","2015-11-18 05:38:54","2","0","2015-11-18 05:38:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 05:38:54","2015-11-18 05:48:54","3","20","2015-11-18 05:48:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 05:38:54","2015-11-18 05:48:54","1","8","2015-11-18 05:48:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 05:38:54","2015-11-18 05:48:54","4","1","2015-11-18 05:48:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 05:38:54","2015-11-18 05:48:54","2","4","2015-11-18 05:48:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 05:48:54","2015-11-18 05:58:54","2","11","2015-11-18 05:58:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 05:48:54","2015-11-18 05:58:54","4","5","2015-11-18 05:58:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 05:48:54","2015-11-18 05:58:54","6","5","2015-11-18 05:58:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 05:48:54","2015-11-18 05:58:54","20","11","2015-11-18 05:58:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 05:58:54","2015-11-18 06:08:54","10","30","2015-11-18 06:08:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 05:58:54","2015-11-18 06:08:54","8","6","2015-11-18 06:08:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 05:58:54","2015-11-18 06:08:54","5","12","2015-11-18 06:08:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 05:58:54","2015-11-18 06:08:54","1","1","2015-11-18 06:08:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 06:08:54","2015-11-18 06:18:54","1","11","2015-11-18 06:18:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 06:08:54","2015-11-18 06:18:54","5","12","2015-11-18 06:18:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 06:08:54","2015-11-18 06:18:54","2","0","2015-11-18 06:18:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 06:08:54","2015-11-18 06:18:54","17","10","2015-11-18 06:18:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 06:18:54","2015-11-18 06:28:54","14","9","2015-11-18 06:28:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 06:18:54","2015-11-18 06:28:54","0","7","2015-11-18 06:28:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 06:18:54","2015-11-18 06:28:54","2","24","2015-11-18 06:28:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 06:18:54","2015-11-18 06:28:54","2","2","2015-11-18 06:28:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 06:28:54","2015-11-18 06:38:54","6","5","2015-11-18 06:38:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 06:28:54","2015-11-18 06:38:54","22","3","2015-11-18 06:38:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 06:28:54","2015-11-18 06:38:54","8","13","2015-11-18 06:38:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 06:28:54","2015-11-18 06:38:54","2","4","2015-11-18 06:38:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 06:38:54","2015-11-18 06:48:54","20","21","2015-11-18 06:48:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 06:38:54","2015-11-18 06:48:54","32","16","2015-11-18 06:48:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 06:38:54","2015-11-18 06:48:54","5","17","2015-11-18 06:48:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 06:38:54","2015-11-18 06:48:54","2","8","2015-11-18 06:48:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 06:48:54","2015-11-18 06:58:54","11","8","2015-11-18 06:58:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 06:48:54","2015-11-18 06:58:54","5","15","2015-11-18 06:58:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 06:48:54","2015-11-18 06:58:54","6","18","2015-11-18 06:58:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 06:48:54","2015-11-18 06:58:54","53","17","2015-11-18 06:58:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 06:58:54","2015-11-18 07:08:54","36","28","2015-11-18 07:08:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 06:58:54","2015-11-18 07:08:54","6","16","2015-11-18 07:08:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 06:58:54","2015-11-18 07:08:54","8","13","2015-11-18 07:08:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 06:58:54","2015-11-18 07:08:54","61","11","2015-11-18 07:08:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 07:08:54","2015-11-18 07:18:54","41","35","2015-11-18 07:18:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 07:08:54","2015-11-18 07:18:54","108","17","2015-11-18 07:18:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 07:08:54","2015-11-18 07:18:54","31","10","2015-11-18 07:18:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 07:08:54","2015-11-18 07:18:54","5","12","2015-11-18 07:18:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 07:18:54","2015-11-18 07:28:54","62","27","2015-11-18 07:28:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 07:18:54","2015-11-18 07:28:54","12","12","2015-11-18 07:28:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 07:18:54","2015-11-18 07:28:54","85","8","2015-11-18 07:28:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 07:18:54","2015-11-18 07:28:54","9","11","2015-11-18 07:28:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 07:28:54","2015-11-18 07:38:54","144","21","2015-11-18 07:38:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 07:28:54","2015-11-18 07:38:54","11","18","2015-11-18 07:38:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 07:28:54","2015-11-18 07:38:54","10","8","2015-11-18 07:38:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 07:28:54","2015-11-18 07:38:54","129","31","2015-11-18 07:38:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 07:38:54","2015-11-18 07:48:54","32","27","2015-11-18 07:48:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 07:38:54","2015-11-18 07:48:54","174","53","2015-11-18 07:48:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 07:38:54","2015-11-18 07:48:54","7","20","2015-11-18 07:48:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 07:38:54","2015-11-18 07:48:54","211","22","2015-11-18 07:48:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 07:48:54","2015-11-18 07:58:54","6","24","2015-11-18 07:58:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 07:48:54","2015-11-18 07:58:54","146","9","2015-11-18 07:58:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 07:48:54","2015-11-18 07:58:54","9","31","2015-11-18 07:58:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 07:48:54","2015-11-18 07:58:54","154","36","2015-11-18 07:58:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 07:58:54","2015-11-18 08:08:54","94","38","2015-11-18 08:08:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 07:58:54","2015-11-18 08:08:54","4","28","2015-11-18 08:08:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 07:58:54","2015-11-18 08:08:54","49","13","2015-11-18 08:08:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 07:58:54","2015-11-18 08:08:54","26","24","2015-11-18 08:08:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 08:08:54","2015-11-18 08:18:54","22","17","2015-11-18 08:18:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 08:08:54","2015-11-18 08:18:54","38","42","2015-11-18 08:18:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 08:08:54","2015-11-18 08:18:54","14","33","2015-11-18 08:18:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 08:08:54","2015-11-18 08:18:54","29","13","2015-11-18 08:18:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 08:18:54","2015-11-18 08:28:54","16","49","2015-11-18 08:28:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 08:18:54","2015-11-18 08:28:54","57","11","2015-11-18 08:28:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 08:18:54","2015-11-18 08:28:54","17","21","2015-11-18 08:28:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 08:18:54","2015-11-18 08:28:54","29","35","2015-11-18 08:28:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 08:28:54","2015-11-18 08:38:54","11","26","2015-11-18 08:38:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 08:28:54","2015-11-18 08:38:54","6","51","2015-11-18 08:38:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 08:28:54","2015-11-18 08:38:54","61","3","2015-11-18 08:38:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 08:28:54","2015-11-18 08:38:54","13","50","2015-11-18 08:38:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 08:38:54","2015-11-18 08:48:54","62","16","2015-11-18 08:48:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 08:38:54","2015-11-18 08:48:54","23","49","2015-11-18 08:48:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 08:38:54","2015-11-18 08:48:54","5","53","2015-11-18 08:48:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 08:38:54","2015-11-18 08:48:54","40","20","2015-11-18 08:48:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 08:48:54","2015-11-18 08:58:54","14","38","2015-11-18 08:58:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 08:48:54","2015-11-18 08:58:54","45","12","2015-11-18 08:58:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 08:48:54","2015-11-18 08:58:54","47","62","2015-11-18 08:58:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 08:48:54","2015-11-18 08:58:54","27","38","2015-11-18 08:58:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 08:58:54","2015-11-18 09:08:54","11","14","2015-11-18 09:08:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 08:58:54","2015-11-18 09:08:54","9","44","2015-11-18 09:08:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 08:58:54","2015-11-18 09:08:54","69","11","2015-11-18 09:08:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 08:58:54","2015-11-18 09:08:54","15","61","2015-11-18 09:08:54"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-18 09:08:54","2015-11-18 09:18:54","85","22","2015-11-18 09:18:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 09:08:54","2015-11-18 09:18:54","21","21","2015-11-18 09:18:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 09:08:54","2015-11-18 09:18:54","17","61","2015-11-18 09:18:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 09:08:54","2015-11-18 09:18:54","8","43","2015-11-18 09:18:54"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-18 09:18:54","2015-11-18 09:28:54","68","33","2015-11-18 09:28:54"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-18 09:18:54","2015-11-18 09:28:54","26","92","2015-11-18 09:28:54"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-18 09:18:54","2015-11-18 09:28:54","17","28","2015-11-18 09:28:54"
